ts_utc,rows,bytes,table_size_pretty,files_done,workers,sevenz_procs,loader_etime_sec
2026-05-26T14:16:27Z,10000,390144000,372_MB,0,3,2,64
2026-05-26T14:21:28Z,80000,3006873600,2868_MB,0,3,2,364
2026-05-26T14:26:28Z,115000,4752785408,4533_MB,0,3,2,665
2026-05-26T14:31:28Z,145000,6297878528,6006_MB,0,3,2,965
2026-05-26T14:36:28Z,180000,8102961152,7728_MB,0,3,2,1265
2026-05-26T14:41:29Z,220000,9635774464,9189_MB,0,3,2,1566
2026-05-26T14:46:29Z,285000,11650670592,11_GB,0,3,2,1866
2026-05-26T14:51:30Z,395000,14663467008,14_GB,0,3,2,2166
2026-05-26T14:56:30Z,500000,17581826048,16_GB,0,3,2,2466
2026-05-26T15:01:30Z,595000,20379672576,19_GB,0,3,2,2767
2026-05-26T15:06:30Z,705000,23565516800,22_GB,0,3,2,3067
2026-05-26T15:11:31Z,755000,25741647872,24_GB,0,3,2,3367
2026-05-26T15:16:31Z,830000,28531597312,27_GB,0,3,2,3668
2026-05-26T15:21:31Z,880000,30897045504,29_GB,0,3,2,3968
2026-05-26T15:26:31Z,975000,33862909952,32_GB,0,3,2,4268
2026-05-26T15:31:32Z,1045000,36338466816,34_GB,0,3,2,4568
2026-05-26T15:36:32Z,1127432,38727852032,36_GB,1,3,2,4869
2026-05-26T15:41:32Z,1237432,41740853248,39_GB,1,3,2,5169
2026-05-26T15:46:33Z,1339679,44601761792,42_GB,2,3,2,5469
2026-05-26T15:51:33Z,1464679,47689465856,44_GB,2,3,2,5770
2026-05-26T15:56:33Z,1524679,50180407296,47_GB,2,3,2,6070
2026-05-26T16:01:33Z,1624679,53023891456,49_GB,2,3,2,6370
2026-05-26T16:06:34Z,1744679,55738867712,52_GB,2,3,2,6670
2026-05-26T16:11:34Z,1849679,58746601472,55_GB,2,3,2,6971
2026-05-26T16:16:34Z,1954679,61479075840,57_GB,2,3,2,7271
2026-05-26T16:21:35Z,2039679,64078929920,60_GB,2,3,2,7571
2026-05-26T16:26:35Z,2124679,66735587328,62_GB,2,3,2,7872
2026-05-26T16:31:35Z,2249679,69870444544,65_GB,2,3,2,8172
2026-05-26T16:36:36Z,2339679,72646459392,68_GB,2,3,2,8472
2026-05-26T16:41:36Z,2474679,75507302400,70_GB,2,3,2,8773
2026-05-26T16:46:36Z,2593209,78230708224,73_GB,3,3,2,9073
2026-05-26T16:51:37Z,2673209,80654852096,75_GB,3,3,2,9373
2026-05-26T16:56:37Z,2774931,83209224192,77_GB,4,3,2,9674
2026-05-26T17:01:37Z,2839931,85486419968,80_GB,4,3,2,9974
2026-05-26T17:06:38Z,2924931,88120320000,82_GB,4,3,2,10275
2026-05-26T17:11:38Z,3004931,90866704384,85_GB,4,3,2,10575
2026-05-26T17:16:39Z,3054931,93287981056,87_GB,4,3,2,10875
2026-05-26T17:21:39Z,3134931,95933382656,89_GB,4,3,2,11176
2026-05-26T17:26:39Z,3219931,98532720640,92_GB,4,3,2,11476
2026-05-26T17:31:40Z,3274931,100577878016,94_GB,4,3,2,11776
2026-05-26T17:36:40Z,3334931,102289014784,95_GB,4,3,2,12077
2026-05-26T17:41:40Z,3379931,104123555840,97_GB,4,3,2,12377
2026-05-26T17:46:41Z,3439931,105910771712,99_GB,4,3,2,12678
2026-05-26T17:51:41Z,3484931,107599060992,100_GB,4,3,2,12978
2026-05-26T17:56:42Z,3514931,109019693056,102_GB,4,3,2,13279
2026-05-26T18:01:42Z,3579931,111248080896,104_GB,4,3,2,13579
2026-05-26T18:06:42Z,3667403,113834967040,106_GB,5,3,2,13879
2026-05-26T18:11:43Z,3722403,116223754240,108_GB,5,3,2,14180
2026-05-26T18:16:43Z,3807403,118935650304,111_GB,5,3,2,14480
2026-05-26T18:21:44Z,3882403,121693437952,113_GB,5,3,2,14780
2026-05-26T18:26:44Z,3942403,124002009088,115_GB,5,3,2,15081
2026-05-26T18:31:44Z,3985146,126347018240,118_GB,6,3,2,15381
2026-05-26T18:36:45Z,4080146,129153884160,120_GB,6,3,2,15682
2026-05-26T18:41:45Z,4135146,131460464640,122_GB,6,3,2,15982
2026-05-26T18:46:46Z,4200146,133740077056,125_GB,6,3,2,16283
2026-05-26T18:51:46Z,4290146,136389722112,127_GB,6,3,2,16583
2026-05-26T18:56:47Z,4385146,139111555072,130_GB,6,3,2,16883
2026-05-26T19:01:47Z,4490146,142148616192,132_GB,6,3,2,17184
2026-05-26T19:06:47Z,4580146,144724180992,135_GB,6,3,2,17484
2026-05-26T19:11:48Z,4725146,148162150400,138_GB,6,3,2,17785
2026-05-26T19:16:48Z,4790146,150279561216,140_GB,6,3,2,18085
2026-05-26T19:21:49Z,4850146,151589117952,141_GB,6,3,1,18386
2026-05-26T19:26:49Z,4908633,153341181952,143_GB,7,3,2,18686
2026-05-26T19:31:50Z,4948633,155005198336,144_GB,7,3,2,18987
2026-05-26T19:36:51Z,5013633,157026476032,146_GB,7,3,2,19288
2026-05-26T19:41:51Z,5118633,159833939968,149_GB,7,3,2,19588
2026-05-26T19:46:52Z,5193633,162426093568,151_GB,7,3,2,19889
2026-05-26T19:51:52Z,5263633,164998889472,154_GB,7,3,2,20189
2026-05-26T19:56:53Z,5338633,167212613632,156_GB,7,3,2,20490
2026-05-26T20:01:53Z,5398953,169763823616,158_GB,8,3,2,20790
2026-05-26T20:06:54Z,5458953,171982921728,160_GB,8,3,2,21091
2026-05-26T20:11:54Z,5528953,174339342336,162_GB,8,3,2,21391
2026-05-26T20:16:55Z,5583953,176659881984,165_GB,8,3,2,21691
2026-05-26T20:21:55Z,5658953,179163455488,167_GB,8,3,2,21992
2026-05-26T20:26:55Z,5763953,181859131392,169_GB,8,3,2,22292
2026-05-26T20:31:56Z,5838953,184700157952,172_GB,8,3,2,22593
2026-05-26T20:36:56Z,5928953,187178385408,174_GB,8,3,2,22893
2026-05-26T20:41:57Z,5978953,189690060800,177_GB,8,3,2,23194
2026-05-26T20:46:57Z,6038953,192261382144,179_GB,8,3,2,23494
2026-05-26T20:51:58Z,6143758,195019563008,182_GB,9,3,2,23795
2026-05-26T20:56:58Z,6248758,197921431552,184_GB,9,3,2,24095
2026-05-26T21:01:59Z,6363758,200824471552,187_GB,9,3,2,24396
2026-05-26T21:06:59Z,6483758,203757002752,190_GB,9,3,2,24696
2026-05-26T21:12:00Z,6595576,206594203648,192_GB,10,3,2,24997
2026-05-26T21:17:00Z,6660576,208849559552,195_GB,10,3,2,25297
2026-05-26T21:22:01Z,6760576,211505553408,197_GB,10,3,2,25598
2026-05-26T21:27:01Z,6860576,214226731008,200_GB,10,3,2,25898
2026-05-26T21:32:02Z,6935576,216937709568,202_GB,10,3,2,26199
2026-05-26T21:37:02Z,7030576,219794554880,205_GB,10,3,2,26499
2026-05-26T21:42:03Z,7150576,222799577088,207_GB,10,3,2,26800
2026-05-26T21:47:03Z,7275576,225889820672,210_GB,10,3,2,27100
2026-05-26T21:52:04Z,7380576,228933844992,213_GB,10,3,2,27401
2026-05-26T21:57:04Z,7470576,231860977664,216_GB,10,3,2,27701
2026-05-26T22:02:05Z,7562517,234906968064,219_GB,11,3,2,28002
2026-05-26T22:07:05Z,7652517,237316087808,221_GB,11,3,2,28302
2026-05-26T22:12:06Z,7712517,239424872448,223_GB,11,3,2,28603
2026-05-26T22:17:06Z,7837517,242510454784,226_GB,11,3,2,28903
2026-05-26T22:22:07Z,7917517,244847517696,228_GB,11,3,2,29204
2026-05-26T22:27:07Z,8029792,247370579968,230_GB,12,3,2,29504
2026-05-26T22:32:08Z,8104792,249783459840,233_GB,12,3,2,29805
2026-05-26T22:37:08Z,8199792,252444000256,235_GB,12,3,2,30105
2026-05-26T22:42:09Z,8319792,255101280256,238_GB,12,3,2,30406
2026-05-26T22:47:10Z,8384792,257556832256,240_GB,12,3,2,30706
2026-05-26T22:52:10Z,8459792,259851501568,242_GB,12,3,2,31007
2026-05-26T22:57:11Z,8554792,262598451200,245_GB,12,3,2,31308
2026-05-26T23:02:11Z,8644792,265142272000,247_GB,12,3,2,31608
2026-05-26T23:07:12Z,8749792,268074344448,250_GB,12,3,2,31909
2026-05-26T23:12:12Z,8847963,271042682880,252_GB,13,3,2,32209
2026-05-26T23:17:13Z,8957963,273923022848,255_GB,13,3,2,32510
